Area,Location,Rent (S$/month),Headline,Link
East Singapore,Bedok,650,"Chai Chee, Blk 55, Common Room with Wi-Fi, air con and Furnished. Can do cooking.",https://sg.roomz.asia/2781
East Singapore,Bedok,200,High Quality Fast delivery PMK OIL cas 28578-16-7 ,https://sg.roomz.asia/2647
East Singapore,Bedok,1500,Master room for rent at 460540 with private 🛁bathroom,https://sg.roomz.asia/2642
East Singapore,Simei,650,Master & Common Room available rent out in 1st Aug onwards ,https://sg.roomz.asia/2461
East Singapore,Bedok,650,Single room for rent female only,https://sg.roomz.asia/2406
East Singapore,Pasir Ris,1150,Middle room for rent at Avila Gardens,https://sg.roomz.asia/2393
East Singapore,Tampines,1500,Master room for rent at Tampines East MRT Station (DT33) with private 🛁bathroom,https://sg.roomz.asia/2353
East Singapore,Bedok,900,Single room for rent at 744 Bedok Reservoir Rd,https://sg.roomz.asia/2344
East Singapore,Bedok,800,Single room for rent at 460421,https://sg.roomz.asia/2305
East Singapore,Pasir Ris,1000,Pasir ris Livia condo common for rent,https://sg.roomz.asia/2291
East Singapore,Pasir Ris,1100,Single room for rent at  prefer  👩female,https://sg.roomz.asia/2285
East Singapore,Pasir Ris,850,Single room for rent at 509399 prefer  👩female,https://sg.roomz.asia/2274
East Singapore,Pasir Ris,1100,No Owner Common Rm at Flora Rd,https://sg.roomz.asia/2229
East Singapore,Pasir Ris,1100,No Owner Common Room for Rent at Flora Road,https://sg.roomz.asia/2228
East Singapore,Tampines,900,Single room for rent at Blk 272 Tampines,https://sg.roomz.asia/2220
East Singapore,Pasir Ris,700,Furnished HDB Common Room For Singapore Tenant Rental @ Pasir Ris Dr 1 Blk 639,https://sg.roomz.asia/2201
East Singapore,Pasir Ris,420,Spacious HDB Common Room Share 🛏️@ Pasir Ris Dr 1 Blk 639 (To Share With Another Female Room Tenant 👩),https://sg.roomz.asia/2200
East Singapore,Bedok,1000,Middle room for rent at Chai Chee Road,https://sg.roomz.asia/2199
East Singapore,Pasir Ris,1000,Master room for rent at 510549 with private 🛁bathroom,https://sg.roomz.asia/2153
North Singapore,Yishun,800,"Single room for rent in Yishun, Prefer  👩female 🎓student or working professionals",https://sg.roomz.asia/2780
North Singapore,Yishun,650,"Yishun, Blk 158(5min walk to Yishun MRT) Common Room with Wi-Fi and Furnished. (No cooking and air con)",https://sg.roomz.asia/2766
North Singapore,Woodlands,800,"Woodlands, Blk 726(near to Admiralty MRT) Common Room with Wi-Fi, Air Con and Furnished.",https://sg.roomz.asia/2765
North Singapore,Sembawang,1000,Single room for rent at Seletaris Condominium,https://sg.roomz.asia/2758
North Singapore,Woodlands,850,Single room for rent at Woodlands Circle prefer  👩female,https://sg.roomz.asia/2757
North Singapore,Woodlands,750,Spacious Common Room @ Woodlands Dr 60 & Ave 9 for Rent (No agent/No Fee),https://sg.roomz.asia/2751
North Singapore,Sembawang,400,"Sembawang, Blk 335(near to MRT) Master Room attach toilet with Wi-Fi and Furnished. (no cooking and air con)",https://sg.roomz.asia/2744
North Singapore,Sembawang,700,"Sembawang, Blk 300(near to MRT) Common Room with Wi-Fi, Air Con and Furnished.",https://sg.roomz.asia/2736
North Singapore,Woodlands,850,Master room for rent at 730034 with private 🛁bathroom,https://sg.roomz.asia/2711
North Singapore,Woodlands,650,Common Bedroom for Rent at Blk 724 Woodlands Ave 6,https://sg.roomz.asia/2688
North Singapore,Woodlands,800,Studio room for rent at Woodlands with private 🛁bathroom,https://sg.roomz.asia/2669
North Singapore,Woodlands,600,Master room for rent at 576 Woodlands Drive 16 with private 🛁bathroom,https://sg.roomz.asia/2620
North Singapore,Yishun,800,Single room for rent at 760210 prefer  👩female,https://sg.roomz.asia/2597
North Singapore,Woodlands,1000,Single room for rent at Woodlands Drive 16 prefer  👩female,https://sg.roomz.asia/2485
North Singapore,Woodlands,1150,*~Master Bedroom for rent in Marsiling near Marsiling MRT Station~*,https://sg.roomz.asia/2272
North Singapore,Sembawang,800,Middle room for rent at 751468 prefer  👩female,https://sg.roomz.asia/2478
North Singapore,Yishun,800,Single room for rent at 760174,https://sg.roomz.asia/2477
North Singapore,Woodlands,1000,Single room for rent at 732786 prefer  👩female,https://sg.roomz.asia/2475
North Singapore,Yishun,650,Single room for rent at 136 Yishun Ring Rd with private 🛁bathroom,https://sg.roomz.asia/2447
North Singapore,Sembawang,1100,"Common room @ Seletaris Condo @ block 501, Sembawang Road For Rental:",https://sg.roomz.asia/2456
North Singapore,Marsiling,1200,Master room for rent at 730022 with private 🛁bathroom prefer  👩female,https://sg.roomz.asia/2414
North Singapore,Sembawang,900,Middle room for rent at 751588,https://sg.roomz.asia/2409
North Singapore,Sembawang,900,Middle room for rent at 751588,https://sg.roomz.asia/2410
North Singapore,Woodlands,800,Single room for rent at Woodlands Street 41,https://sg.roomz.asia/2408
North Singapore,Woodlands,450,🛏️Shared room for rent at Woodlands Ring Road prefer  👩female,https://sg.roomz.asia/2401
North Singapore,Yishun,375,Looking for male roommate for master room for rent in 760331 with private 🛁bathroom,https://sg.roomz.asia/2365
North Singapore,Woodlands,750,Middle room for rent at Woodhaven prefer  👩female,https://sg.roomz.asia/2358
North Singapore,Woodlands,750,Middle room for rent at Woodhaven prefer  👩female,https://sg.roomz.asia/2357
North Singapore,Woodlands,750,Middle room for rent at Woodhaven prefer  👩female,https://sg.roomz.asia/2356
North Singapore,Woodlands,750,Middle room for rent at Woodhaven prefer  👩female,https://sg.roomz.asia/2355
North Singapore,Woodlands,750,Middle room for rent at Woodhaven prefer  👩female,https://sg.roomz.asia/2354
North Singapore,Woodlands,750,Single room for rent at Woodlands Avenue 1,https://sg.roomz.asia/2346
North Singapore,Sembawang,750,Middle room for rent at 751507,https://sg.roomz.asia/2339
North Singapore,Sembawang,750,Middle room for rent at 751507,https://sg.roomz.asia/2338
North Singapore,Yishun,650,Blk 395 Yishun Common Room $650 (only for one person) for rent (male / female),https://sg.roomz.asia/2307
North Singapore,Woodlands,850,Cozy aircon room with  housekeeping and laundry (1pax)($850/mth),https://sg.roomz.asia/2279
North Singapore,Yishun,1050,Middle room for rent at Lilydale,https://sg.roomz.asia/2268
North Singapore,Yishun,1500,Master room for rent at Springleaf MRT Station (TE4) with private 🛁bathroom,https://sg.roomz.asia/2250
North Singapore,Yishun,900,1 Pax All-In with attached bathroom Condo Room in Canberra (Yishun/Sembawang),https://sg.roomz.asia/2214
North Singapore,Sembawang,550,🛏️Shared room for rent at Sembawang Mart,https://sg.roomz.asia/2187
North Singapore,Yishun,1000,Middle room for rent at Yishun Emerald,https://sg.roomz.asia/2170
North Singapore,Yishun,1000,Master room for rent at Yishun Street 11 with private 🛁bathroom,https://sg.roomz.asia/2160
North Singapore,Woodlands,550,Middle room for rent at 730829 with private 🛁bathroom prefer  👩female,https://sg.roomz.asia/2059
North Singapore,Yishun,1000,En-suite Condo room in Yishun .... Ideal for singles !!,https://sg.roomz.asia/1987
North Singapore,Yishun,700,Single room for rent at 760115 prefer  👩female,https://sg.roomz.asia/1930
West Singapore,Choa Chu Kang,700,"Single Room for Rent at 683484, High Floor, Wi-Fi and Furnished. Prefer Female Chinese 👩🏻‍💼",https://sg.roomz.asia/2659
West Singapore,Jurong West,450,Nice & Cozy Room for 1 Pax near Jurong Point,https://sg.roomz.asia/1597
West Singapore,Choa Chu Kang,600,"Choa Chu Kang, Blk 788(near to Yew Tee MRT) Common Room with Wi-Fi and Furnished. (No cooking and air con)",https://sg.roomz.asia/2764
